#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-06T11:26:00 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-06T11:26:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=B/vsx/vsx&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#RESOURCE=yCat_102027
#Name: B/vsx
#Title: AAVSO International Variable Star Index VSX (Watson+, 2006-)
#INFO	ivoid=ivo://cds.vizier/b/vsx	    IVOID of underlying data collection
#INFO	creator=Watson C.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/B/vsx	    Dataset landing page
#INFO	publication_date=2025-08-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	B_vsx_vsx:
#Name: B/vsx/vsx
#Title: Variable Star indeX, Version 2025-08-24
#Column	OID	(I8)	Internal identifier, can be used to link out to the VSX database (1)	[ucd=meta.id]
#Column	n_OID	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Name	(a30)	Variable star identifier	[ucd=meta.id;meta.main]
#Column	V	(I1)	Variability flag (2) (VarFlag)	[ucd=meta.note]
#Column	Type	(a30)	? Variability type, ariability type, as in GCVS catalog Variability type (see details of VSX type list)	[ucd=meta.id]
#Column	l_max	(A1)	? Limit flag on max (LimitFlagOnMax)	[ucd=meta.code.error]
#Column	max	(F7.3)	[-6.0/25.2]? Magnitude at maximum, or amplitude (MagMax)	[ucd=phot.mag]
#Column	u_max	(A1)	? Uncertainty flag on max (MaxUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_max	(a7)	? Passband on max magnitude (4) (MaxPassband)	[ucd=meta.note]
#Column	f_min	(A1)	? Flag to indicate an amplitude (MinIsAmplitude)	[ucd=meta.code]
#Column	l_min	(A1)	? Limit flag on min (LimitFlagOnMin)	[ucd=meta.code.error]
#Column	min	(F7.3)	[-0.02/28.0]? Magnitude at minimum, or amplitude (MagMin)	[ucd=phot.mag]
#Column	u_min	(A1)	? Uncertainty flag on min (MinUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_min	(a8)	? Passband on min magnitude (MinPassband)	[ucd=meta.note]
#Column	Epoch	(F14.5)	? Epoch of maximum or minimum (HJD)	[ucd=time.epoch]
#Column	u_Epoch	(A1)	? Uncertainty flag on epoch (EpochUncertaintyFlag)	[ucd=meta.code.error;time.epoch]
#Column	l_Period	(A1)	? Limit flag on period (3) (LimitFlagOnPeriod)	[ucd=meta.code.error;time.period]
#Column	Period	(F19.12)	[0.0/27400.0]? Period of the variable in days	[ucd=time.period]
#Column	u_Period	(A1)	? Uncertainty flag on Period (3) (PeriodUncertaintyFlag)	[ucd=meta.code.error;time.period]
#Column	Sp	(a29)	? Spectral type (SpectralType)	[ucd=src.spType]
#Column	RAJ2000	(F9.5)	[0.0/360.0] Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-89.93/89.91] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
OID|n_OID|Name|V|Type|l_max|max|u_max|n_max|f_min|l_min|min|u_min|n_min|Epoch|u_Epoch|l_Period|Period|u_Period|Sp|RAJ2000|DEJ2000
  608177|B|V1662 Sco                     |0|NA                            | |  9.800| |V      | |<| 17.000| |V       | 2458159.00000| | |                   | |                             |252.20675|-44.95089
  625366|B|EPIC 203623230                |0|EP                            | |  8.690| |Kp     |Y| |  0.000| |Kp      | 2456897.20900| | |     2.544275830000| |                             |252.22234|-25.50793
   46590|B|NSV 7966                      |2|                              | |  6.400| |pg     | | |       | |        |              | | |                   | |B8                           |252.22400|-52.94083
 6054182| |Gaia DR3 5971621854328625408  |0|VAR                           | |  9.580| |G      | | |  9.600| |G       |              | | |     0.014881800000| |F                            |252.22464|-36.72603
  415036|B|ASAS J164854-4017.1           |0|SR                            | |  8.883| |Ic     |Y| |  0.105| |Ic      | 2452490.70000| | |    28.500000000000| |                             |252.22545|-40.28613
 6054329| |Gaia DR3 5939447674529236992  |0|ACV|roAm|roAp|SXARI           | |  8.240| |G      | | |  8.280| |G       |              | | |                   | |B                            |252.22943|-48.29773
 6054432| |Gaia DR3 6026222644034637312  |0|DSCT|GDOR|SXPHE               | |  8.770| |G      | | |  8.810| |G       |              | | |     1.710250000000| |F                            |252.23202|-33.93617
  103736|B|ASAS J164901-8253.1           |0|ROT                           | |  9.817| |V      |Y| |  0.051| |V       | 2451891.60000| | |    12.686145000000| |G9III                        |252.25146|-82.88558
  476717|B|CD-60 6444                    |0|ACV                           | |  9.600| |V      | | |  9.620| |V       | 2453583.73000| | |     4.467300000000| |B9pSi                        |252.25225|-60.46689
  413126|B|ASAS J164900-4217.6           |0|MISC                          | |  8.595| |Ic     |Y| |  0.392| |Ic      | 2454517.90000| | |   409.600000000000| |                             |252.25230|-42.29246
   59212|B|NSV 20777                     |1|                              | |  8.570| |Hp     | | |  8.640| |Hp      |              | | |                   | |M1III                        |252.25625|-20.45611
   20496|B|RR Oph                        |0|M                             | |  7.900| |V      | | | 14.900| |V       | 2453552.00000| | |   299.000000000000| |M3e-M7                       |252.26025|-19.46453
 6055324| |Gaia DR3 1426249688567205504  |0|DSCT|GDOR|SXPHE               | |  8.430| |G      | | |  8.500| |G       |              | | |                   | |F                            |252.26304|+54.02970
 6056008| |Gaia DR3 1407668423094384000  |0|ROT                           | |  9.080| |G      | | |  9.110| |G       |              | | |                   | |F                            |252.28498|+46.21611
  103742|B|ASAS J164912-3246.0           |0|ESD|ED                        | |  9.120| |V      |Y| |  0.290| |V       | 2451925.07000| | |     1.485224000000| |B9III/IV                     |252.30096|-32.76756
  413128|B|ASAS J164914-5737.3           |0|MISC                          | |  9.054| |Ic     |Y| |  0.140| |Ic      | 2452522.90000| | |    36.500000000000| |                             |252.30849|-57.62168
   15448|B|V0637 Her                     |0|ACV                           | |  4.780| |V      | | |  4.850| |V       |              | | |     3.856700000000| |A3Vp(Sr-Cr-Eu)               |252.30925|+45.98333
  305587|B|HIP 82322                     |0|VAR                           | |  9.110| |V      |Y| |  0.016| |V       |              | | |     6.301990000000| |K5                           |252.31170|-69.53300
  413129|B|ASAS J164915-3111.3           |0|MISC                          | |  8.501| |Ic     |Y| |  0.150| |Ic      | 2452658.30000| | |    84.529000000000| |                             |252.31177|-31.18749
 6056933| |Gaia DR3 6032859291874351360  |0|ACV|roAm|roAp|SXARI           | |  8.070| |G      | | |  8.130| |G       |              | | |                   | |A                            |252.31629|-29.12226
  413130|B|ASAS J164916-5105.9           |0|MISC                          | |  8.997| |Ic     |Y| |  0.177| |Ic      | 2452473.70000| | |    42.130000000000| |                             |252.31767|-51.09946
  413131|B|ASAS J164916-3650.4           |0|MISC                          | |  7.780| |Ic     |Y| |  0.097| |Ic      | 2453658.50000| | |   564.800000000000| |                             |252.31845|-36.84045
  451494|B|GDS_J1649167-404833           |0|VAR                           | |  9.620| |r      |Y| |  0.130| |r       |              | | |                   | |B3/5II                       |252.31975|-40.80925
   59205|B|NSV 20770                     |1|                              | |  8.970| |V      | | |  9.660| |V       |              | | |                   | |M0/1(III)                    |252.32125|-68.00778
  103746|B|ASAS J164918-3816.0           |0|MISC|SR                       | |  9.240| |V      |Y| |  0.160| |V       | 2452020.10000| | |    32.455280000000| |M0                           |252.32346|-38.26744
   59219|B|NSV 20784                     |1|                              | |  8.100| |Hp     | | |  8.180| |Hp      |              | | |                   | |M2                           |252.33671|-00.07803
  357524|B|[HHR2012] J164920.9-430128    |0|VAR                           | |  9.800| |r      |Y| |  0.150| |r       |              | | |                   | |                             |252.33693|-43.02443
 6057660| |Gaia DR3 6027821059049530112  |0|DSCT|GDOR|SXPHE               | |  9.760| |G      | | |  9.780| |G       |              | | |                   | |F                            |252.34101|-31.47807
    3646|B|V0843 Ara                     |0|ACV                           | |  7.780| |Hp     | | |  7.820| |Hp      | 2448502.31800| | |     2.572810000000| |Ap Si                        |252.36033|-49.98578
  413132|B|ASAS J164927-5129.4           |0|M|SR                          | |  9.173| |Ic     |Y| |  2.601| |Ic      | 2453560.90000| | |   373.000000000000| |                             |252.36377|-51.49025
  305588|B|HIP 82337                     |0|VAR                           | |  8.280| |V      |Y| |  0.015| |V       |              | | |    11.886370000000| |K5                           |252.36400|+11.88200
   21496|B|V1010 Oph                     |0|EB/KE                         | |  6.100| |V      | | |  7.000| |V       | 2438937.76900| | |     0.661426130000| |A5V                          |252.36529|-15.66797
  413133|B|ASAS J164928-5426.8           |0|ACV                           | |  8.229| |Ic     |Y| |  0.149| |Ic      | 2452414.30000| | |     3.878600000000| |ApSrCrEu                     |252.36791|-54.44666
10433113| |Gaia DR3 5967419593927637248  |0|ACV|roAm|roAp|SXARI           | |  8.580| |G      | | |  8.650| |G       |              | | |                   | |                             |252.37903|-43.94466
   15732|B|V0921 Her                     |0|EW                            | |  9.450| |Hp     | | |  9.800| |Hp      | 2448500.12500| | |     0.877366000000| |A5                           |252.38017|+47.10800
 6058910| |Gaia DR3 1306333067792427520  |0|ROT                           | |  9.310| |G      | | |  9.360| |G       |              | | |                   | |F                            |252.38233|+25.50372
   15730|B|V0919 Her                     |0|DSCTC                         | |  8.420| |Hp     | | |  8.460| |Hp      | 2448500.04900| | |     0.103710000000| |F2                           |252.38325|+26.03486
   59213|B|NSV 20778                     |1|                              | |  7.230| |K      | | |       | |        |              | | |                   | |                             |252.39083|-40.46056
  103758|B|ASAS J164935-4701.3           |0|MISC|SR                       | |  9.650| |V      |Y| |  0.150| |V       | 2451987.10000| | |    27.032421000000| |                             |252.39508|-47.02281
   22592|B|V2106 Oph                     |0|SR                            | |  7.380| |V      | | |  7.460| |V       |              | | |    22.000000000000|:|M2III                        |252.39575|-21.85233
   20513|B|TT Oph                        |0|RVA                           | |  9.350| |V      | | | 10.960| |V       | 2454602.00000| | |    60.980000000000| |G2e-K0                       |252.39950|+03.63169
  103761|B|ASAS J164937+1551.8           |0|MISC                          | |  9.420| |V      |Y| |  0.060| |V       | 2452760.30000| | |    19.309099000000| |                             |252.40263|+15.86303
  357532|B|[HHR2012] J164938.1-442634    |0|VAR                           | |  9.880| |r      |Y| |  0.080| |r       |              | | |                   | |                             |252.40891|-44.44267
 6059902| |Gaia DR3 5805178196430428928  |0|ACV|roAm|roAp|SXARI           | |  8.990| |G      | | |  9.020| |G       |              | | |                   | |B                            |252.41456|-74.79295
  103765|B|ASAS J164940+0628.4           |0|MISC                          | |  9.390| |V      |Y| |  0.180| |V       | 2452483.70000| | |    43.881296000000| |M5                           |252.41779|+06.47303
  413135|B|ASAS J164944-3132.8           |0|MISC                          | |  9.136| |Ic     |Y| |  0.156| |Ic      | 2452504.90000| | |    58.280000000000| |                             |252.43467|-31.54533
   59216|B|V1595 Sco                     |0|RS                            | |  8.060| |V      | | |  8.410| |V       | 2454521.84000| | |    31.580000000000| |G6IV/V                       |252.43560|-36.40620
  415037|B|ASAS J164945-6726.7           |0|SR                            | |  8.842| |Ic     |Y| |  0.349| |Ic      | 2453284.50000| | |   423.000000000000| |                             |252.43705|-67.44522
  413136|B|ASAS J164945-5327.1           |0|MISC                          | |  9.131| |Ic     |Y| |  0.299| |Ic      | 2452779.80000| | |   145.400000000000| |                             |252.44221|-53.45116
  413137|B|ASAS J164948-2257.1           |0|MISC                          | |  8.585| |Ic     |Y| |  0.405| |Ic      | 2453183.70000| | |   455.000000000000| |                             |252.45033|-22.95228
   59215|B|NSV 20780                     |1|VAR:                          | |  7.160| |V      | | |       | |        |              | | |                   | |O7II(f)                      |252.45083|-42.00167
 6060992| |Gaia DR3 6046906102673574656  |0|DSCT|GDOR|SXPHE               | |  9.800| |G      | | |  9.830| |G       |              | | |     0.265818000000| |A                            |252.45257|-24.31310
  136724|B|V0878 Ara                     |0|EW                            | |  7.940| |V      | | |  8.170| |V       | 2452102.55700| | |     0.770462820000| |B3II/III                     |252.45325|-47.12939
  415938|B|ASAS J164949-2658.7           |0|SR|EC|ESD|ED                  | |  9.111| |Ic     |Y| |  0.276| |Ic      | 2453666.20000| | |   409.000000000000| |                             |252.45443|-26.97848
   67891|B|NSVS J1649514+375743          |0|L:                            | |  9.467| |R1     |Y| |  0.334| |R1      |              | | |    49.000000000000| |                             |252.46433|+37.96190
 6061484| |Gaia DR3 6028021238890001664  |0|ACV|roAm|roAp|SXARI           | |  9.550| |G      | | |  9.640| |G       |              | | |                   | |B                            |252.46949|-30.67825
  698079| |EPIC 203911712                |0|VAR                           | |  9.192| |Kp     |Y| |  0.002| |Kp      |              | | |    16.865113000000| |                             |252.47149|-24.44694
  357535|B|[HHR2012] J164953.2-423415    |0|VAR                           | |  9.360| |i      |Y| |  0.020| |i       |              | | |                   | |                             |252.47179|-42.57072
  413138|B|ASAS J164954-3832.7           |0|DPV/ELL                       | |  9.410| |V      | | |  9.560| |V       | 2453898.99000| | |     5.824500000000| |B3II/IIIe                    |252.47612|-38.54461
  629626|B|WISE J165000.9-470549         |0|VAR                           | |  9.870| |W1     |Y| |  0.341| |W1      |              | | |     1.598404600000| |                             |252.50376|-47.09711
   59217|B|V1290 Sco                     |0|EA                            | |  7.960| |V      | | |  8.070| |V       | 2448704.30700| | |     4.492440000000| |O9.5IV                       |252.50600|-41.62125
 6062784| |Gaia DR3 5964245711850635008  |0|DSCT|GDOR|SXPHE               | |  9.140| |G      | | |  9.210| |G       |              | | |     6.279500000000| |B                            |252.51251|-45.23652
  413139|B|ASAS J165003-4627.5           |0|MISC                          | |  8.490| |Ic     |Y| |  0.411| |Ic      | 2452759.00000| | |   122.200000000000| |                             |252.51410|-46.45870
 6062884| |Gaia DR3 4134142181180653440  |0|ROT                           | |  8.660| |G      | | |  8.690| |G       |              | | |     1.896480000000| |F                            |252.51526|-15.42623
  103786|B|ASAS J165005+0058.6           |0|MISC                          | |  9.000| |V      |Y| |  0.060| |V       | 2451996.00000| | |    19.143921000000| |M3                           |252.51979|+00.97639
   15731|B|V0920 Her                     |0|EA                            | |  7.870| |V      | | |  7.980| |V       | 2447954.49700| | |     6.926440000000| |A0                           |252.52663|+16.49564
  305589|B|HIP 82391                     |0|VAR                           | |  7.940| |V      |Y| |  0.012| |V       |              | | |     0.937970000000| |K2                           |252.52680|+36.04000
   36669|B|V TrA                         |0|SRB                           | | 10.000| |pg     | | | 10.700| |pg      |              | | |   250.000000000000| |C5,5(Nb)                     |252.52750|-67.78281
  415156|B|ASAS J165009-6517.7           |0|SR                            | |  7.544| |Ic     |Y| |  0.094| |Ic      | 2453131.40000| | |   216.300000000000| |                             |252.53930|-65.29528
 6063976| |Gaia DR3 5927308585109717632  |0|DSCT|GDOR|SXPHE               | |  9.960| |G      | | | 10.000| |G       |              | | |                   | |A                            |252.54994|-58.60674
   59221|B|NSV 20786                     |0|M                             | |  3.720| |K      | | |       | |        |              | | |   360.000000000000| |                             |252.55042|-32.28361
   46607|B|NSV 7983                      |1|                              | |  2.240| |V      | | |  2.350| |V       |              | | |                   | |K2                           |252.55337|-34.29322
  413140|B|ASAS J165014-5758.7           |0|MISC                          | |  9.125| |Ic     |Y| |  0.182| |Ic      | 2452563.10000| | |    53.550000000000| |                             |252.55834|-57.97848
  413141|B|ASAS J165017-5446.4           |0|MISC                          | |  9.056| |Ic     |Y| |  0.186| |Ic      | 2452525.20000| | |    64.160000000000| |                             |252.57060|-54.77363
 6064688| |Gaia DR3 5936296233739052544  |0|VAR                           | | 10.000| |G      | | | 10.080| |G       |              | | |     0.053594800000| |A                            |252.57301|-51.55981
  413142|B|ASAS J165019-4542.1           |0|MISC                          | |  9.015| |Ic     |Y| |  0.265| |Ic      | 2452705.30000| | |   103.670000000000| |                             |252.57946|-45.70216
   46614|B|NSV 7990                      |1|                              | |  5.480| |V      | | |  5.510| |V       |              | | |                   | |AM                           |252.58075|+07.24769
  103800|B|ASAS J165020-6016.1           |0|MISC|SR                       | |  9.110| |V      |Y| |  0.300| |V       | 2452196.70000| | |    82.440231000000| |M5III                        |252.58400|-60.26747
  413143|B|ASAS J165020-4034.1           |0|MISC                          | |  8.670| |Ic     |Y| |  0.144| |Ic      | 2452548.90000| | |    68.670000000000| |                             |252.58503|-40.56864
 6065390| |Gaia DR3 1314188150660171392  |0|ROT                           | |  9.690| |G      | | |  9.720| |G       |              | | |                   | |G                            |252.59477|+33.23886
  415800|B|ASAS J165027-4815.8           |0|SR                            | |  9.099| |Ic     |Y| |  0.055| |Ic      | 2453552.90000| | |   354.000000000000| |                             |252.61040|-48.26630
10377715| |Gaia DR3 5939969530213306752  |0|BE|GCAS|SDOR|WR               | |  9.480| |G      | | |  9.530| |G       |              | | |                   | |O                            |252.61225|-47.15592
  409918|B|HD 151610                     |0|ACV                           | |  9.780| |V      | | |  9.890| |V       | 2452543.47000| | |     2.437140000000| |A0pSiCr:                     |252.62852|-45.22920
  103812|B|ASAS J165034+0111.8           |0|MISC|SR                       | |  8.800| |V      |Y| |  0.200| |V       | 2451989.70000| | |    24.890066000000| |M5                           |252.64217|+01.19614
 6066908| |Gaia DR3 5817664392231877888  |0|DSCT|GDOR|SXPHE               | |  9.960| |G      | | |  9.990| |G       |              | | |     1.489890000000| |F                            |252.64329|-63.52306
  451866|B|GDS_J1650361-473839           |0|VAR                           | |  9.910| |r      |Y| |  0.090| |r       |              | | |                   | |B2IV                         |252.65065|-47.64418
 6067290| |Gaia DR3 5929224892118147712  |0|ACV|roAm|roAp|SXARI           | |  9.830| |G      | | |  9.860| |G       |              | | |                   | |B                            |252.65607|-55.79161
 6067316| |Gaia DR3 5940015086914524928  |0|DSCT|GDOR|SXPHE               | |  9.770| |G      | | |  9.800| |G       |              | | |                   | |F                            |252.65666|-46.63932
  416152|B|ASAS J165038-6324.6           |0|SR:                           | |  9.109| |Ic     |Y| |  0.389| |Ic      | 2452907.20000| | |   256.400000000000| |                             |252.65820|-63.41119
   59227|B|NSV 20792                     |1|                              | |  5.810| |Hp     | | |  5.850| |Hp      |              | | |                   | |M1III                        |252.66250|+29.80639
  413146|B|ASAS J165041-6423.7           |0|MISC                          | |  8.982| |Ic     |Y| |  0.368| |Ic      | 2452614.40000| | |    65.970000000000| |                             |252.67334|-64.39400
10788658| |Gaia DR3 5968090055517779584  |0|ACV|roAm|roAp|SXARI           | |  8.040| |G      | | |  8.500| |G       |              | | |                   | |B                            |252.67496|-41.45663
  413147|B|ASAS J165043-2257.9           |0|MISC                          | |  8.964| |Ic     |Y| |  0.218| |Ic      | 2452631.10000| | |   107.200000000000| |M6                           |252.67790|-22.96460
 6067982| |Gaia DR3 1706250598142527104  |0|ACV|roAm|roAp|SXARI           | |  9.790| |G      | | |  9.820| |G       |              | | |                   | |A                            |252.67844|+78.99337
  413148|B|ASAS J165043-1733.9           |0|MISC                          | |  9.314| |Ic     |Y| |  0.871| |Ic      | 2452729.80000| | |   220.800000000000| |                             |252.68058|-17.56361
  415513|B|ASAS J165044-6120.5           |0|SR                            | |  8.834| |Ic     |Y| |  0.429| |Ic      | 2453859.80000| | |   423.000000000000| |                             |252.68159|-61.34065
   15734|B|V0923 Her                     |0|EB                            | |  9.090| |Hp     | | |  9.270| |Hp      | 2448500.62300| | |     1.364760000000| |G0                           |252.68400|+30.40244
  415515|B|ASAS J165044-0435.9           |0|SR                            | |  8.405| |Ic     |Y| |  0.136| |Ic      | 2452449.10000| | |    35.250000000000| |                             |252.68431|-04.59847
   59222|B|NSV 20787                     |1|VAR:                          | |  9.030| |V      | | |       | |        |              | | |                   | |B1IV                         |252.68496|-41.74717
  413149|B|ASAS J165045-3806.9           |0|MISC                          | |  8.027| |Ic     |Y| |  0.440| |Ic      | 2452617.20000| | |   125.000000000000| |                             |252.68630|-38.11479
  413150|B|ASAS J165046-1949.9           |0|MISC                          | |  8.711| |Ic     |Y| |  0.168| |Ic      | 2453180.10000| | |   410.600000000000| |                             |252.69236|-19.83168
 6068469| |Gaia DR3 5939194580717774976  |0|ROT                           | |  8.050| |G      | | |  8.090| |G       |              | | |                   | |G                            |252.69540|-49.21094
  416653|B|ASAS J165048-5101.9           |0|SR|EC|ESD                     | |  8.670| |Ic     |Y| |  0.098| |Ic      | 2452507.50000| | |    30.450000000000| |                             |252.70007|-51.03070
 6068933| |Gaia DR3 5937485596063334656  |0|DSCT|GDOR|SXPHE               | |  9.300| |G      | | |  9.350| |G       |              | | |     0.081801200000| |B                            |252.71262|-50.33411
  415514|B|ASAS J165052-4144.9           |0|SR                            | |  8.843| |Ic     |Y| |  0.290| |Ic      | 2454877.70000| | |   557.000000000000| |                             |252.71387|-41.74828
 6069066| |Gaia DR3 5929836770342553344  |0|ACV|roAm|roAp|SXARI           | |  8.860| |G      | | |  8.890| |G       |              | | |                   | |B                            |252.71752|-54.93440
 6069287| |Gaia DR3 5817761939523363328  |0|ACV|roAm|roAp|SXARI           | |  9.090| |G      | | |  9.150| |G       |              | | |                   | |A                            |252.72494|-63.30757
  413151|B|ASAS J165055-4740.2           |0|MISC                          | |  8.767| |Ic     |Y| |  0.297| |Ic      | 2452818.50000| | |    60.650000000000| |                             |252.72949|-47.66924
 6069462| |Gaia DR3 5927316350417573504  |0|ACV|roAm|roAp|SXARI           | |  8.770| |G      | | |  8.820| |G       |              | | |                   | |B                            |252.73054|-58.44866
   22841|B|V2355 Oph                     |0|EB                            | |  7.110| |Hp     | | |  7.250| |Hp      | 2448502.00600| | |     2.107730000000| |B5V                          |252.73117|-16.54692
  413152|B|ASAS J165056-4932.3           |0|M|SR                          | |  9.854| |Ic     |Y| |  2.782| |Ic      | 2453529.30000| | |   472.000000000000| |                             |252.73300|-49.53951
  281717|B|ASAS J165057-3645.3           |0|ROT                           | |  8.362| |V      |Y| |  0.057| |V       |              | | |     2.492000000000| |G3IV                         |252.73950|-36.75528
  683877|B|HD 151738                     |0|ROT                           | |  9.920| |V      | | | 10.000| |V       |              | | |                   | |G0/2V                        |252.74277|-38.92800
 6069830| |Gaia DR3 5817758159952439296  |0|ACV|roAm|roAp|SXARI           | |  9.650| |G      | | |  9.680| |G       |              | | |                   | |B                            |252.74332|-63.49253
 6069908| |Gaia DR3 5964447236034809856  |0|ACV|roAm|roAp|SXARI           | |  8.230| |G      | | |  8.280| |G       |              | | |                   | |B                            |252.74558|-43.70620
 6070022| |Gaia DR3 4559832092286781184  |0|DSCT|GDOR|SXPHE               | |  9.580| |G      | | |  9.640| |G       |              | | |     0.064620700000| |A                            |252.74985|+18.75335
   59223|B|NSV 20788                     |1|VAR:                          | |  6.110| |V      | | |       | |        |              | | |                   | |B9pSi                        |252.75000|-37.51389
  629521|B|WISE J165102.1-544120         |0|MISC                          | |  9.678| |W1     |Y| |  0.116| |W1      |              | | |     0.429880600000| |                             |252.75888|-54.68894
   33821|B|V1005 Sco                     |0|M                             | |  7.920| |H      |Y| |  1.460| |H       |              | | |                   | |                             |252.75908|-44.39142
   59226|B|NSV 20791                     |0|LB                            | |  7.120| |V      | | |  7.210| |V       |              | | |                   | |M3III                        |252.76280|+09.87890
  413153|B|ASAS J165105-5443.9           |0|ESD|ED                        | |  9.163| |Ic     |Y| |  0.156| |Ic      | 2452405.77000| | |     2.370900000000| |B2/3III                      |252.77272|-54.73172
   20464|B|CV Oct                        |0|LB                            | |  8.920| |Hp     | | |  9.190| |Hp      | 2452042.60000| | |    56.892246000000| |M3                           |252.77337|-87.13678
10459053| |Gaia DR3 5964449813015255424  |0|ACV|roAm|roAp|SXARI           | |  9.440| |G      | | |  9.480| |G       |              | | |                   | |B                            |252.77905|-43.59758
 6070985| |Gaia DR3 5940004233551919488  |0|BCEP                          | |  9.820| |G      | | |  9.870| |G       |              | | |                   | |B                            |252.78207|-46.80604
 6071230| |Gaia DR3 5815449357332798080  |0|ACV|roAm|roAp|SXARI           | |  9.780| |G      | | |  9.820| |G       |              | | |                   | |A                            |252.78981|-66.75752
 6071578| |Gaia DR3 5964448610424375424  |0|DSCT|GDOR|SXPHE               | |  9.620| |G      | | |  9.650| |G       |              | | |                   | |A                            |252.80138|-43.63185
  451551|B|GDS_J1651129-421113           |0|VAR                           | |  9.810| |r      |Y| |  0.250| |r       |              | | |                   | |                             |252.80397|-42.18699
  451729|B|GDS_J1651132-442400           |0|VAR                           | |  9.870| |r      |Y| |  0.130| |r       |              | | |                   | |                             |252.80510|-44.40000
  413154|B|ASAS J165114-2044.2           |0|M                             | |  9.745| |Ic     |Y| |  2.748| |Ic      | 2453088.00000| | |   392.000000000000| |                             |252.80629|-20.73678
  451879|B|GDS_J1651163-475817           |0|VAR                           | |  9.550| |r      |Y| |  0.120| |r       |              | | |                   | |                             |252.81794|-47.97139
  413155|B|ASAS J165118-4453.8           |0|MISC                          | |  9.194| |Ic     |Y| |  0.551| |Ic      | 2454565.80000| | |   300.000000000000| |                             |252.82296|-44.89667
  413156|B|ASAS J165120-3705.9           |0|MISC                          | |  9.430| |Ic     |Y| |  0.277| |Ic      | 2452726.30000| | |   130.730000000000| |                             |252.83160|-37.09652
  413157|B|ASAS J165122-3455.4           |0|MISC                          | |  9.116| |Ic     |Y| |  0.893| |Ic      | 2453320.50000| | |   288.000000000000| |                             |252.84272|-34.92385
  413159|B|ASAS J165122-5219.7           |0|MISC                          | |  9.175| |Ic     |Y| |  0.967| |Ic      | 2452856.70000| | |   160.300000000000| |                             |252.84625|-52.32866
 6073112| |Gaia DR3 1311301279802252032  |0|E                             | |  9.760| |G      | | |  9.900| |G       |              | | |     0.907550000000| |F                            |252.85206|+30.02524
 6073360| |Gaia DR3 5929254548909605888  |0|L                             | |  9.000| |G      | | |  9.130| |G       |              | | |                   | |M                            |252.86080|-55.54249
 6073584| |Gaia DR3 5914716668704144640  |0|ROT                           | |  9.240| |G      | | |  9.280| |G       |              | | |                   | |G                            |252.86741|-60.40028
  415516|B|ASAS J165129-0656.0           |0|SR                            | |  8.600| |Ic     |Y| |  0.313| |Ic      | 2454637.30000| | |   445.000000000000| |                             |252.86994|-06.93406
 6073664| |Gaia DR3 5927510856568258944  |0|SPB                           | |  9.570| |G      | | |  9.630| |G       |              | | |                   | |B                            |252.87102|-57.05182
  249757|B|HD 152140                     |0|ROT                           | |  9.016| |V      |Y| |  0.085| |V       |              | | |    12.970000000000| |K5                           |252.87138|+02.92606
   46629|B|NSV 8005                      |2|                              | |  8.500| |pg     | | |       | |        |              | | |                   | |K0                           |252.88088|+23.62569
  413160|B|ASAS J165131-4112.6           |0|MISC                          | |  8.580| |Ic     |Y| |  0.312| |Ic      | 2452724.10000| | |   175.490000000000| |                             |252.88169|-41.21223
  413161|B|ASAS J165132-3249.8           |0|MISC                          | |  9.250| |Ic     |Y| |  0.388| |Ic      | 2452594.20000| | |   115.600000000000| |                             |252.88206|-32.83135
  416872|B|ASAS J165133-6001.6           |0|SR                            | |  8.357| |Ic     |Y| |  0.072| |Ic      | 2452468.60000| | |    29.600000000000| |                             |252.88550|-60.02632
 6074239| |Gaia DR3 5964387037771707776  |0|BCEP                          | |  9.450| |G      | | |  9.470| |G       |              | | |                   | |B                            |252.88914|-44.42744
   33789|B|V0973 Sco                     |0|ACYG                          | |  5.220| |V      | | |  5.280| |V       |              | | |                   | |O8Iaf                        |252.89050|-41.23053
  451315|B|GDS_J1651341-394916           |0|VAR                           | |  9.440| |r      |Y| |  0.080| |r       |              | | |                   | |                             |252.89219|-39.82123
